imdb_title_id,title,director
tt0014497,Souls for Sale,Rupert Hughes
tt0014516,Die Straße,Karl Grune
tt0014524,La notte di San Silvestro,Lupu Pick
tt0014532,I dieci comandamenti,Cecil B. DeMille
tt0014538,"""Senti, amore mio""","""Edward F. Cline, Buster Keaton"""
tt0014586,Das Wachsfigurenkabinett,"""Leo Birinsky, Paul Leni"""
tt0014604,The White Rose,D.W. Griffith
tt0014605,La suora bianca,Henry King
tt0014606,White Tiger,Tod Browning
tt0014611,Perché preoccuparsi?,"""Fred C. Newmeyer, Sam Taylor"""
tt0014624,La donna di Parigi,Charles Chaplin
tt0014636,Zaza,Allan Dwan
tt0014646,Aelita,Yakov Protazanov
tt0014672,America,D.W. Griffith
tt0014702,Beau Brummel,Harry Beaumont
tt0014721,Black Oxen,Frank Lloyd
tt0014760,Captain January,Edward F. Cline
tt0014770,The Chechahcos,Lewis H. Moomaw
tt0014826,Dante's Inferno,Henry Otto
tt0014854,Dorothy Vernon of Haddon Hall,"""Marshall Neilan, Mary Pickford"""
tt0014869,The Enchanted Cottage,John S. Robertson
tt0014874,The Family Secret,William A. Seiter
tt0014898,La fille de l'eau,Jean Renoir
tt0014900,Finanze del granduca,F.W. Murnau
tt0014925,La zarina,Ernst Lubitsch
tt0014945,Tutte e nessuna,"""Fred C. Newmeyer, Sam Taylor"""
tt0014972,Quello che prende gli schiaffi,Victor Sjöström
tt0014982,Her Night of Romance,Sidney Franklin
tt0015002,Il re degli scapoli,"""Fred C. Newmeyer, Sam Taylor"""
tt0015014,Futurismo,Marcel L'Herbier
tt0015016,Il cavallo d'acciaio,John Ford
tt0015018,Isn't Life Wonderful,D.W. Griffith
tt0015022,Janice Meredith,E. Mason Hopper
tt0015036,Kean,Alexandre Volkoff
tt0015064,L'ultima risata,F.W. Murnau
tt0015116,Manhandled,Allan Dwan
tt0015119,Matrimonio in quattro,Ernst Lubitsch
tt0015136,Michael,Carl Theodor Dreyer
tt0015145,Monsieur Beaucaire,Sidney Olcott
tt0015163,Il navigatore,"""Donald Crisp, Buster Keaton"""
tt0015167,Le straordinarie avventure di mr. West nel paese dei bolscevichi,Lev Kuleshov
tt0015174,I Nibelunghi: La vendetta di Crimilde,Fritz Lang
tt0015175,I Nibelunghi: Sigfrido,Fritz Lang
tt0015200,Open All Night,Paul Bern
tt0015202,Orlacs Hände,Robert Wiene
tt0015213,Papirosnitsa ot Mosselproma,Yuri Zhelyabuzhsky
tt0015214,Paris qui dort,René Clair
tt0015224,Peter Pan,Herbert Brenon
tt0015268,The Red Lily,Fred Niblo
tt0015289,Romola,Henry King
tt0015310,The Sea Hawk,Frank Lloyd
tt0015312,Secrets,Frank Borzage
tt0015324,La palla n° 13,Buster Keaton
tt0015361,Sciopero,Sergei M. Eisenstein
